mapping_period,old_poz_no,new_poz_no,source_url,evidence,mapping_type
2025,35.115.1000,35.115.1557,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1000 35.115.1557 35.491.5000,official
2025,35.115.1500,35.115.1558,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1500 35.115.1558 35.510.1700,official
2025,35.115.1501,35.130.2000,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1501 35.130.2000 35.515.7010,official
2025,35.115.1502,35.140.2500,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1502 35.140.2500 35.515.7020,official
2025,35.115.1503,35.140.2600,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1503 35.140.2600 35.515.7030,official
2025,35.115.1504,35.150.3100,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1504 35.150.3100 35.701.1910,official
2025,35.115.1505,35.150.3200,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1505 35.150.3200 35.710.1100,official
2025,35.115.1506,35.170.2200,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1506 35.170.2200 35.710.1150,official
2025,35.115.1507,35.170.8100,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1507 35.170.8100 35.715.1100,official
2025,35.115.1508,35.170.8105,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1508 35.170.8105 35.715.1200,official
2025,35.115.1509,35.170.8110,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1509 35.170.8110 35.720.1100,official
2025,35.115.1550,35.170.8115,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1550 35.170.8115 35.720.1200,official
2025,35.115.1551,35.170.8120,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1551 35.170.8120 35.735.1250,official
2025,35.115.1552,35.185.2100,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1552 35.185.2100 35.740.1000,official
2025,35.115.1553,35.185.3100,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1553 35.185.3100,official
2025,35.115.1554,35.185.3160,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1554 35.185.3160,official
2025,35.115.1555,35.445.1200,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1555 35.445.1200,official
2025,35.115.1556,35.491.1200,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,35.115.1556 35.491.1200,official
2026,25.114.2000,25.175.1513,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.114.2000 25.175.1513 25.305.6306,official
2026,25.126.1100,25.175.1601,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.126.1100 25.175.1601 25.305.6600,official
2026,25.130.1202,25.175.1602,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.130.1202 25.175.1602 25.305.6600,official
2026,25.130.1203,25.175.1603,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.130.1203 25.175.1603 25.305.7101,official
2026,25.130.3000,25.175.1604,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.130.3000 25.175.1604 25.305.7102,official
2026,25.150.1200,25.175.1605,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.150.1200 25.175.1605 25.305.7103,official
2026,25.150.1300,25.175.1606,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.150.1300 25.175.1606 25.305.7104,official
2026,25.150.1600,25.175.1607,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,25.150.1600 25.175.1607 25.305.7105,official
