period,url,kind,status,pages,mechanical_start_page,mechanical_end_page,parsed_rows,note
2026,https://webdosya.csb.gov.tr/v2/yfk/2026/01/1-BF-202619011535-20260119155143.pdf,price_book,mechanical_section_not_found,741,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2025,https://webdosya.csb.gov.tr/db/yfk/icerikler/2025-yili-b-r-m-f-yatlari-200105_1007-20250120090000.pdf,price_book,mechanical_section_not_found,675,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2024,https://webdosya.csb.gov.tr/db/yfk/icerikler/1--2024-b-r-m-f-yatlar-20240603-1019-20240603093641.pdf,price_book,mechanical_section_not_found,648,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2023/2,https://webdosya.csb.gov.tr/db/yfk/icerikler/2023-2-birim-fiyatlar-170723-20230717105538.pdf,price_book,mechanical_section_not_found,629,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2023/1,https://webdosya.csb.gov.tr/db/yfk/icerikler/2023-b-r-m-f-yatlar--1-20230130125553-20250114083046.pdf,price_book,mechanical_section_not_found,630,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2022/3,https://webdosya.csb.gov.tr/db/yfk/icerikler//bf-2022-3-turkce-20220907143000.pdf,price_book,mechanical_section_not_found,620,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2022/2,https://webdosya.csb.gov.tr/db/yfk/icerikler//bf-2022-2-turkce-20220907142858.pdf,price_book,mechanical_section_not_found,620,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2022/1,https://webdosya.csb.gov.tr/db/yfk/icerikler//bf-2022-1-turkce-20220907142750.pdf,price_book,mechanical_section_not_found,620,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2021,https://webdosya.csb.gov.tr/db/yfk/icerikler/bf-2021-turkce-20210809122111-20241015131501.pdf,price_book,mechanical_section_not_found,618,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2020,https://webdosya.csb.gov.tr/db/yfk/icerikler/-nsaat-b-r-m-f-yatlar--2020-turkce-20200207124629-20241015132829.pdf,price_book,mechanical_section_not_found,631,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2019,https://webdosya.csb.gov.tr/db/yfk/icerikler/-nsaat-b-r-m-f-yatlar--2019-turkce-20241015133030.pdf,price_book,mechanical_section_not_found,752,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2018,https://webdosya.csb.gov.tr/db/yfk/icerikler/b-r-m-f-yat-2018-20190415145232-20241016085909.pdf,price_book,mechanical_section_not_found,688,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2017,https://webdosya.csb.gov.tr/db/yfk/icerikler/b-r-m-f-yat-2017-20190417082219-20241016090611.pdf,price_book,mechanical_section_not_found,700,0,0,0,PDF içinde mekanik tesisat başlangıç/bitiş başlıkları bulunamadı; OCR veya elle kontrol gerekebilir.
2026,https://webdosya.csb.gov.tr/v2/yfk/2026/02/de-i-en-0302261018-20260204093427.pdf,code_map,ok,0,0,0,98,
2025,https://webdosya.csb.gov.tr/db/yfk/icerikler/deg-sen-2025-20250128140311.pdf,code_map,ok,0,0,0,18,
